date,open,high,low,close,volume
2005-02-25,15.7764,16.0415,15.7249,15.8898,6004316.780778
2005-02-28,16.2934,16.3093,16.0415,16.1773,5029867.3869261
2005-03-01,15.8514,15.8823,15.7184,15.7933,4648452.0944376
2005-03-02,15.2239,15.5685,15.1995,15.5142,3677615.0509408
2005-03-03,15.6472,15.872,15.6088,15.8261,2993889.9201038
2005-03-04,15.8139,16.093,15.7989,16.0321,4026139.0552271
2005-03-07,15.7249,15.7736,15.635,15.7362,4219124.842022
2005-03-08,15.8308,15.9104,15.6519,15.7315,2653923.2246397
2005-03-09,15.93,16.1454,15.768,15.7764,3400966.4611096
2005-03-10,15.8673,15.9104,15.5826,15.6687,3957307.9242074
2005-03-11,15.6472,15.7512,15.5526,15.5685,2158425.7862488
2005-03-14,15.7006,15.8036,15.6088,15.7512,2644415.5783016
2005-03-15,15.6472,15.6472,15.4,15.4149,2596500.4149898
2005-03-16,15.5479,15.621,15.3307,15.4458,2620080.5311268
2005-03-17,15.768,15.9104,15.7006,15.8261,4473144.7210269
2005-03-18,15.989,16.0677,15.915,15.9366,3871746.5817294
2005-03-21,15.9197,15.9366,15.7764,15.7839,3120900.9274013
2005-03-22,15.6837,15.8579,15.4271,15.4421,3864141.7460129
2005-03-23,15.1874,15.2117,14.4541,14.8746,5888333.959844
2005-03-24,14.647,14.8315,14.6161,14.7107,3366745.7681802
2005-03-28,14.6751,14.7163,14.5365,14.5477,2699175.3073174
2005-03-29,14.4588,14.5674,14.042,14.2162,5400252.3574613
2005-03-30,14.411,14.5365,14.3632,14.4962,3561824.4330998
2005-03-31,14.7378,14.8839,14.7107,14.7163,3002063.8905349
2005-04-01,15.1724,15.1789,14.9092,14.9317,2216418.7984082
2005-04-04,14.8558,14.8793,14.7257,14.8053,1701151.1363033
2005-04-05,14.5946,14.7257,14.5431,14.6348,1959735.8387691
2005-04-06,14.5946,14.647,14.4794,14.5103,4551483.4983847
2005-04-07,14.6685,14.7519,14.5946,14.6882,2432414.4988306
2005-04-08,14.869,14.9635,14.7847,14.8418,1831395.4267444
2005-04-11,14.7519,14.78,14.5431,14.6002,2008407.0009137
2005-04-12,14.7191,14.78,14.4962,14.7575,3788275.9817862
2005-04-13,14.411,14.4166,14.2218,14.2537,7423496.3693665
2005-04-14,13.9896,14.0589,13.5494,13.6374,10259760.532829
2005-04-15,13.4164,13.5429,13.0062,13.128,7177651.5285876
2005-04-18,13.1486,13.4118,13.143,13.3958,5324198.6613214
2005-04-19,13.5269,13.9896,13.5269,13.9259,7077446.4460062
2005-04-20,13.8987,13.9259,13.674,13.718,4216463.8969777
2005-04-21,13.8332,14.0383,13.7049,13.969,3060053.6993095
2005-04-22,13.9746,13.9896,13.7526,13.8744,2332972.8896467
2005-04-25,13.9109,14.1207,13.8575,14.1123,2122496.6213809
2005-04-26,13.806,13.8257,13.6318,13.6534,1963540.3922172
