option_symbol,date,tape_time,volume,open_interest,premium,ask_side_volume,bid_side_volume,floor_volume,high,low,open,close,iv,bid,ask,trades,avg_price,mid_volume,sweep_volume,cross_volume,total_bid_changes,total_ask_changes,stock_multi_leg_volume,neutral_volume,multileg_volume,next_earnings_date,er_time,ticker_option_vol,close,sector,chain_prev_close,issue_type
SPY251218P00677000,2025-12-18,2025-12-18 21:14:48+00,607660,3639,55886782.00,288771,280182,0,2.73,0.06,1.63,1.10,0.01129785058605325,0.05,1.37,71812,0.9197048020274495606095513919,38707,42967,0,94686,99639,1,0,14032,,,17031749,676.47,,4.81,ETF
SPY251218C00680000,2025-12-18,2025-12-18 21:14:12+00,575248,20910,33589704.00,257892,295908,0,1.68,0.01,0.78,0.01,0.02848574102384232,0.00,0.01,65775,0.5839169193113231162907128785,21448,32761,0,26455,25378,12,0,21775,,,17031749,676.47,,0.31,ETF
SPY251218P00676000,2025-12-18,2025-12-18 21:14:58+00,553490,3287,46077436.00,267696,259382,0,2.15,0.01,1.27,0.25,0.004166438206925038,0.25,0.33,65336,0.8324890422591194059513270357,26412,44875,0,55268,58234,11,0,13199,,,17031749,676.47,,4.20,ETF
SPY251219C00670000,2025-12-18,2025-12-18 21:11:08+00,535110,28561,356842856.00000000,344252,186633,527670,10.66,5.56,8.19,6.10,0.0816003047090592,6.00,6.25,645,6.6685888135149782287753919755,225,158,4000,106235,73071,4,4000,178570,,,17031749,676.47,,5.08,ETF
SPY251218P00675000,2025-12-18,2025-12-18 21:14:56+00,534901,4301,33366998.00,253107,264561,0,1.73,0.01,1.00,0.05,0.01048689002857586,0.04,0.05,58880,0.6237976373198031037519092298,17233,39805,0,32488,33979,22,0,13158,,,17031749,676.47,,3.60,ETF
SPY251218P00678000,2025-12-18,2025-12-18 21:14:58+00,509448,4519,54456338.00,244317,236482,0,3.46,0.20,2.06,2.19,0.03233355125337554,2.01,2.40,59829,1.0689282910130180116518270676,28649,31777,0,153569,150802,0,0,13133,,,17031749,676.47,,5.74,ETF
SPY251218C00678000,2025-12-18,2025-12-18 21:14:20+00,498574,7455,48407707.00,240725,229367,375,3.18,0.01,1.63,0.01,0.01618052207089234,0.00,0.01,61825,0.9709232130034859419063168104,28482,36355,0,108335,101984,6,0,12887,,,17031749,676.47,,0.68,ETF
SPY251218C00679000,2025-12-18,2025-12-18 21:12:28+00,484686,14196,35406088.00,231469,233003,0,2.38,0.01,1.16,0.01,0.02204855799505007,0.00,0.01,56720,0.7304953722616291784784375832,20214,30739,0,59381,55482,1,0,16560,,,17031749,676.47,,0.48,ETF
ASHR251219C00032000,2025-12-18,2025-12-18 20:46:30+00,482694,21864,46872145.00000000,741,481580,479940,1.07,0.93,0.99,0.97,0.2920533426187774,0.95,1.14,228,0.9710529859496906943115099835,373,366,0,298,256,0,0,201323,,,1013774,32.97,,0.94,ETF
SPY251219C00660000,2025-12-18,2025-12-18 21:10:48+00,471813,28672,797954170.00,356527,115273,471050,20.74,15.50,17.38,15.97,0.2729548663924948,15.94,16.30,146,16.912509193260889377783147138,13,1,0,29265,25710,1,0,117344,,,17031749,676.47,,13.00,ETF
