date,open,high,low,close,volume
2025-12-15,150.0,151.0,149.0,150.2,1
2025-12-16,151.0,152.0,150.0,151.2,1
2025-12-17,152.0,153.0,151.0,152.2,1
2025-12-18,153.0,154.0,152.0,153.2,1
2025-12-19,154.0,155.0,153.0,154.2,1
2025-12-22,155.0,156.0,154.0,155.2,1
2025-12-23,156.0,157.0,155.0,156.2,1
2025-12-24,157.0,158.0,156.0,157.2,1
2025-12-25,158.0,159.0,157.0,158.2,1
2025-12-26,159.0,160.0,158.0,159.2,1
2025-12-29,160.0,161.0,159.0,160.2,1
2025-12-30,161.0,162.0,160.0,161.2,1
2025-12-31,162.0,163.0,161.0,162.2,1
2026-01-01,163.0,164.0,162.0,163.2,1
2026-01-02,164.0,165.0,163.0,164.2,1
2026-01-05,165.0,166.0,164.0,165.2,1
2026-01-06,166.0,167.0,165.0,166.2,1
2026-01-07,167.0,168.0,166.0,167.2,1
2026-01-08,168.0,169.0,167.0,168.2,1
2026-01-09,169.0,170.0,168.0,169.2,1
2026-01-12,170.0,171.0,169.0,170.2,1
2026-01-13,171.0,172.0,170.0,171.2,1
2026-01-14,172.0,173.0,171.0,172.2,1
2026-01-15,173.0,174.0,172.0,173.2,1
2026-01-16,174.0,175.0,173.0,174.2,1
2026-01-19,175.0,176.0,174.0,175.2,1
2026-01-20,176.0,177.0,175.0,176.2,1
