date,open,high,low,close,volume
2025-12-15,300.0,301.0,299.0,300.2,1
2025-12-16,301.0,302.0,300.0,301.2,1
2025-12-17,302.0,303.0,301.0,302.2,1
2025-12-18,303.0,304.0,302.0,303.2,1
2025-12-19,304.0,305.0,303.0,304.2,1
2025-12-22,305.0,306.0,304.0,305.2,1
2025-12-23,306.0,307.0,305.0,306.2,1
2025-12-24,307.0,308.0,306.0,307.2,1
2025-12-25,308.0,309.0,307.0,308.2,1
2025-12-26,309.0,310.0,308.0,309.2,1
2025-12-29,310.0,311.0,309.0,310.2,1
2025-12-30,311.0,312.0,310.0,311.2,1
2025-12-31,312.0,313.0,311.0,312.2,1
2026-01-01,313.0,314.0,312.0,313.2,1
2026-01-02,314.0,315.0,313.0,314.2,1
2026-01-05,315.0,316.0,314.0,315.2,1
2026-01-06,316.0,317.0,315.0,316.2,1
2026-01-07,317.0,318.0,316.0,317.2,1
2026-01-08,318.0,319.0,317.0,318.2,1
2026-01-09,319.0,320.0,318.0,319.2,1
2026-01-12,320.0,321.0,319.0,320.2,1
2026-01-13,321.0,322.0,320.0,321.2,1
2026-01-14,322.0,323.0,321.0,322.2,1
2026-01-15,323.0,324.0,322.0,323.2,1
2026-01-16,324.0,325.0,323.0,324.2,1
2026-01-19,325.0,326.0,324.0,325.2,1
2026-01-20,326.0,327.0,325.0,326.2,1
