date,open,high,low,close,volume
2025-12-15,200.0,201.0,199.0,200.2,1
2025-12-16,201.0,202.0,200.0,201.2,1
2025-12-17,202.0,203.0,201.0,202.2,1
2025-12-18,203.0,204.0,202.0,203.2,1
2025-12-19,204.0,205.0,203.0,204.2,1
2025-12-22,205.0,206.0,204.0,205.2,1
2025-12-23,206.0,207.0,205.0,206.2,1
2025-12-24,207.0,208.0,206.0,207.2,1
2025-12-25,208.0,209.0,207.0,208.2,1
2025-12-26,209.0,210.0,208.0,209.2,1
2025-12-29,210.0,211.0,209.0,210.2,1
2025-12-30,211.0,212.0,210.0,211.2,1
2025-12-31,212.0,213.0,211.0,212.2,1
2026-01-01,213.0,214.0,212.0,213.2,1
2026-01-02,214.0,215.0,213.0,214.2,1
2026-01-05,215.0,216.0,214.0,215.2,1
2026-01-06,216.0,217.0,215.0,216.2,1
2026-01-07,217.0,218.0,216.0,217.2,1
2026-01-08,218.0,219.0,217.0,218.2,1
2026-01-09,219.0,220.0,218.0,219.2,1
2026-01-12,220.0,221.0,219.0,220.2,1
2026-01-13,221.0,222.0,220.0,221.2,1
2026-01-14,222.0,223.0,221.0,222.2,1
2026-01-15,223.0,224.0,222.0,223.2,1
2026-01-16,224.0,225.0,223.0,224.2,1
2026-01-19,225.0,226.0,224.0,225.2,1
2026-01-20,226.0,227.0,225.0,226.2,1
