date,open,high,low,close,volume
2025-12-15,250.0,251.0,249.0,250.2,1
2025-12-16,251.0,252.0,250.0,251.2,1
2025-12-17,252.0,253.0,251.0,252.2,1
2025-12-18,253.0,254.0,252.0,253.2,1
2025-12-19,254.0,255.0,253.0,254.2,1
2025-12-22,255.0,256.0,254.0,255.2,1
2025-12-23,256.0,257.0,255.0,256.2,1
2025-12-24,257.0,258.0,256.0,257.2,1
2025-12-25,258.0,259.0,257.0,258.2,1
2025-12-26,259.0,260.0,258.0,259.2,1
2025-12-29,260.0,261.0,259.0,260.2,1
2025-12-30,261.0,262.0,260.0,261.2,1
2025-12-31,262.0,263.0,261.0,262.2,1
2026-01-01,263.0,264.0,262.0,263.2,1
2026-01-02,264.0,265.0,263.0,264.2,1
2026-01-05,265.0,266.0,264.0,265.2,1
2026-01-06,266.0,267.0,265.0,266.2,1
2026-01-07,267.0,268.0,266.0,267.2,1
2026-01-08,268.0,269.0,267.0,268.2,1
2026-01-09,269.0,270.0,268.0,269.2,1
2026-01-12,270.0,271.0,269.0,270.2,1
2026-01-13,271.0,272.0,270.0,271.2,1
2026-01-14,272.0,273.0,271.0,272.2,1
2026-01-15,273.0,274.0,272.0,273.2,1
2026-01-16,274.0,275.0,273.0,274.2,1
2026-01-19,275.0,276.0,274.0,275.2,1
2026-01-20,276.0,277.0,275.0,276.2,1
